timestamp,experiment,cumulativeproductivity,awardreceived
-30,0,.0060606059,0
-29,0,.045161292,0
-28,0,.060975611,0
-27,0,.10144927,0
-26,0,.14285715,0
-25,0,.17830883,0
-24,0,.21689498,0
-23,0,.25367647,0
-22,0,.25563911,0
-21,0,.28860295,0
-20,0,.3309859,0
-19,0,.3618421,0
-18,0,.41007194,0
-17,0,.43288592,0
-16,0,.46613547,0
-15,0,.5105263,0
-14,0,.55681819,0
-13,0,.61935484,0
-12,0,.69014084,0
-11,0,.73913044,0
-10,0,.77971017,0
-9,0,.80000001,0
-8,0,.85347986,0
-7,0,.87272727,0
-6,0,.89130437,0
-5,0,.91156465,0
-4,0,.93137252,0
-3,0,.95862067,0
-2,0,.98840582,0
-1,0,.99770641,0
0,0,1,0
1,0,1.0041841,0
2,0,1.0118203,0
3,0,1.025,0
4,0,1.0504587,0
5,0,1.0695971,0
6,0,1.0695971,0
7,0,1.0923077,1
8,0,1.1087866,0
9,0,1.1223022,0
10,0,1.1290323,0
11,0,1.1326531,0
12,0,1.1404494,0
13,0,1.1483871,0
14,0,1.1636363,0
15,0,1.175,0
16,0,1.1825397,0
17,0,1.2,0
18,0,1.2033427,0
19,0,1.2217573,0
20,0,1.2340425,0
21,0,1.2461538,0
22,0,1.2539682,0
23,0,1.2619047,0
24,0,1.2619047,0
25,0,1.2698413,0
26,0,1.2857143,1
27,0,1.2857143,0
28,0,1.2857143,0
29,0,1.3289474,0
30,0,1.3666667,0
31,0,1.3684211,0
32,0,1.3733333,0
33,0,1.4333333,0
34,0,1.4909091,0
35,0,1.5060241,0
36,0,1.5060241,0
37,0,1.5060241,0
38,0,1.5060241,0
39,0,1.5060241,0
40,0,1.5102041,0
41,0,1.5158731,0
42,0,1.5384616,0
43,0,1.5507813,0
44,0,1.5507813,0
45,0,1.5866667,0
46,0,1.66,0
47,0,1.6637682,0
48,0,1.6695652,0
49,0,1.6695652,0
50,0,1.6929824,0
51,0,1.7068063,0
52,0,1.7068063,0
53,0,1.7068063,0
54,0,1.7142857,0
55,0,1.7346939,0
56,0,1.744898,0
57,0,1.7629629,0
58,0,1.7653061,0
59,0,1.7755102,0
60,0,1.7755102,0
61,0,1.7755102,0
62,0,1.7857143,0
63,0,1.7857143,0
64,0,1.7857143,0
65,0,1.8979592,0
66,0,1.9202899,0
67,0,1.9202899,0
68,0,1.9202899,0
69,0,1.9276316,0
70,0,1.9276316,0
71,0,1.9276316,0
72,0,1.9276316,1
73,0,1.9276316,0
74,0,1.9276316,0
75,0,1.9276316,0
76,0,1.9276316,0
77,0,1.9276316,0
78,0,1.9354838,0
79,0,2,0
80,0,2.0483871,0
81,0,2.0745614,0
82,0,2.0745614,0
83,0,2.0745614,0
84,0,2.0789473,0
85,0,2.0789473,0
86,0,2.0964913,0
87,0,2.1276596,0
88,0,2.1710527,0
89,0,2.1798246,0
90,0,2.2149122,0
-30,1,.0097417943,0
-29,1,.041309193,0
-28,1,.077747405,0
-27,1,.10611063,0
-26,1,.13080871,0
-25,1,.16009502,0
-24,1,.20652899,0
-23,1,.23094717,0
-22,1,.28257859,0
-21,1,.30150285,0
-20,1,.33412838,0
-19,1,.36357206,0
-18,1,.40346789,0
-17,1,.45952445,0
-16,1,.5066272,0
-15,1,.53109843,0
-14,1,.56900239,0
-13,1,.60811865,0
-12,1,.66326535,0
-11,1,.68943369,0
-10,1,.72613639,0
-9,1,.75525308,0
-8,1,.78601956,0
-7,1,.83089232,0
-6,1,.84680575,0
-5,1,.88560557,0
-4,1,.9081046,0
-3,1,.94143105,0
-2,1,.97144043,0
-1,1,.99321961,0
0,1,1,0
1,1,1.0075948,0
2,1,1.0244057,0
3,1,1.0378462,0
4,1,1.0670886,0
5,1,1.0937005,0
6,1,1.1074138,0
7,1,1.1320559,0
8,1,1.1488843,1
9,1,1.1953881,1
10,1,1.2179811,1
11,1,1.2334489,0
12,1,1.2701004,0
13,1,1.2879126,0
14,1,1.3297451,0
15,1,1.3560154,0
16,1,1.3933456,0
17,1,1.414197,0
18,1,1.4291121,0
19,1,1.4541947,0
20,1,1.4921803,0
21,1,1.5224702,0
22,1,1.5359483,0
23,1,1.5480595,0
24,1,1.5647032,0
25,1,1.5698051,0
26,1,1.640873,0
27,1,1.657657,0
28,1,1.6600494,0
29,1,1.6908808,0
30,1,1.6928874,0
31,1,1.7081727,0
32,1,1.721493,0
33,1,1.7712548,1
34,1,1.7999598,0
35,1,1.8066711,0
36,1,1.8223929,0
37,1,1.8461818,1
38,1,1.8862519,0
39,1,1.8981102,0
40,1,1.9178838,0
41,1,1.9379303,0
42,1,1.9541637,0
43,1,1.9739227,0
44,1,2.0120063,0
45,1,2.0220733,0
46,1,2.0441468,1
47,1,2.0510628,0
48,1,2.0620909,0
49,1,2.0704708,0
50,1,2.1011267,1
51,1,2.1011267,0
52,1,2.1011267,0
53,1,2.1291544,0
54,1,2.1403275,0
55,1,2.1967304,0
56,1,2.203536,0
57,1,2.2205296,0
58,1,2.2768121,0
59,1,2.3070292,0
60,1,2.3697522,0
61,1,2.3959708,0
62,1,2.4017186,0
63,1,2.4108224,1
64,1,2.4108224,1
65,1,2.4258041,1
66,1,2.4615977,0
67,1,2.4770653,1
68,1,2.4770653,0
69,1,2.4770653,0
70,1,2.504504,0
71,1,2.5129786,0
72,1,2.5838242,0
73,1,2.5838242,0
74,1,2.6595078,1
75,1,2.6595078,0
76,1,2.7268581,0
77,1,2.738625,0
78,1,2.7457428,0
79,1,2.7762737,0
80,1,2.7762737,1
81,1,2.7762737,0
82,1,2.7762737,1
83,1,2.8175044,0
84,1,2.8289385,0
85,1,2.833889,0
86,1,2.872437,0
87,1,2.9039056,0
88,1,2.907402,0
89,1,2.928381,0
90,1,2.9381189,0
